SaturdayMorning,Vacation,Breakfast,House,FavouriteThing,City,Holiday,Cup,Friday,Beverage
4,1,5,5,1,6,3,1,2,Hot Chocolate
3,5,1,4,3,4,1,1,1,Nariyal Irish Cream Frappe
5,6,3,4,6,5,2,3,3,Cafe Latte
2,2,1,1,6,3,1,5,5,Iced Latte Cold Coffee
3,1,6,5,6,5,6,1,1,Madagascar Hot Chocolate
5,5,4,3,6,2,5,5,6,Espresso
3,5,1,6,6,1,4,3,6,Kaapi-cino
1,6,6,2,3,5,2,2,5,Iced Latte Cold Coffee
1,2,4,4,3,2,4,5,4,Double Restritto
1,6,6,4,2,2,4,2,6,Cafe Latte
6,6,6,6,6,3,2,6,4,Cafe Latte
2,6,3,6,1,4,6,3,5,South Indian Filter Kaapi
1,1,6,1,4,1,2,6,6,Cappucino
2,4,3,3,3,1,6,3,2,Original South India Frappe
1,5,1,1,5,5,5,1,2,Bon Bon Cold Coffee
6,1,2,3,1,4,5,3,4,Flat White
3,6,1,1,1,5,3,3,1,Madagascar Choco Chip Frappe
5,4,5,1,6,6,3,2,2,South Indian Filter Kaapi
5,2,5,3,4,4,1,1,1,Kaapi-cino
1,6,6,1,4,6,4,1,6,Bellatte
5,4,6,2,4,3,1,2,2,Original South India Frappe
1,2,3,1,3,4,2,2,4,Madagascar Choco Chip Frappe
1,6,2,6,3,2,4,4,2,Iced Latte Cold Coffee
4,5,2,6,3,1,5,3,6,Double Restritto
4,3,4,5,4,6,5,4,3,Hazelnut Frappe Cold Coffee
4,3,5,4,4,5,2,5,3,Original South India Frappe
2,5,6,5,5,3,4,5,5,Hot Chocolate
4,4,4,1,6,2,5,6,5,Americano
1,3,5,5,3,2,4,6,2,Double Restritto
6,6,1,5,4,6,3,5,6,Hazelnut Frappe Cold Coffee
6,2,3,4,2,4,2,6,2,Vietnamese Cold Coffee
3,5,4,3,6,1,1,2,5,Sea Salt Dark Mocha
4,1,2,4,3,4,6,3,6,Hazelnut Frappe Cold Coffee
6,3,3,3,5,5,2,2,5,Hot Chocolate
4,4,3,4,3,3,4,1,6,Madagascar Choco Chip Frappe
3,5,4,6,4,2,2,6,5,Vietnamese Cold Coffee
6,6,4,1,3,4,3,1,2,Cafe Latte
1,3,3,2,4,2,3,4,1,Bon Bon Cold Coffee
2,3,2,2,2,2,3,5,2,Cafe Mocha
4,5,3,4,5,5,3,5,3,Sea Salt Dark Mocha
6,1,1,5,1,2,1,5,5,Flat White
6,5,1,2,5,1,3,4,4,Hazelnut Frappe Cold Coffee
3,1,1,4,6,2,4,4,6,Flat White
1,5,4,1,3,2,1,3,5,Iced Latte Cold Coffee
5,2,3,3,1,1,4,2,2,Flat White
6,2,1,6,6,6,1,6,5,Original South India Frappe
2,5,5,2,2,3,2,5,5,Original South India Frappe
3,6,6,1,3,4,1,4,4,Madagascar Choco Chip Frappe
6,1,1,4,2,5,3,1,5,Double Restritto
6,6,5,5,6,2,4,6,5,Bon Bon Cold Coffee
3,3,4,4,6,2,6,5,3,Espresso
3,5,2,4,1,5,3,5,1,Madagascar Hot Chocolate
4,6,3,1,6,4,2,5,5,Bellatte
6,6,3,4,5,1,2,6,1,Double Restritto
5,3,1,4,1,5,6,5,2,Nariyal Irish Cream Frappe
2,5,1,4,5,2,5,2,5,Cafe Latte
1,6,4,5,2,1,6,1,3,Madagascar Hot Chocolate
1,4,3,6,2,1,5,1,5,Iced Latte Cold Coffee
5,1,1,5,6,6,4,5,6,Cafe Mocha
3,4,3,5,1,1,2,2,6,South Indian Filter Kaapi
3,6,4,2,3,3,3,3,3,Double Restritto
3,6,1,1,5,1,1,1,5,Flat White
6,4,3,3,6,6,3,5,6,Flat White
3,6,4,6,5,1,6,5,6,Iced Latte Cold Coffee
3,6,6,6,6,6,3,1,4,Flat White
6,1,1,4,1,4,3,1,6,Nariyal Irish Cream Frappe
6,5,4,1,1,3,5,4,1,Madagascar Choco Chip Frappe
5,1,5,1,5,4,4,1,2,Hot Chocolate
4,1,2,2,3,2,5,2,3,Cold Brew
6,2,1,6,1,5,3,3,1,Cafe Mocha
2,2,5,2,3,6,2,5,4,Cafe Latte
3,6,4,6,3,1,5,5,4,Madagascar Hot Chocolate
4,3,1,5,6,6,5,1,6,Sea Salt Dark Mocha
1,1,5,1,3,3,6,1,5,Hazelnut Frappe Cold Coffee
5,4,1,4,3,4,3,6,4,Cold Brew
4,4,3,5,5,6,1,1,1,Hot Chocolate
6,2,1,5,1,6,5,2,1,Double Restritto
3,6,2,2,5,5,3,5,4,Bon Bon Cold Coffee
3,1,1,4,1,1,4,4,4,Bon Bon Cold Coffee
3,5,6,3,5,5,5,3,3,Cafe Mocha
4,6,2,3,1,6,1,3,6,Flat White
3,2,4,2,3,3,5,5,3,Cappucino
6,2,1,5,1,3,2,3,3,South Indian Filter Kaapi
4,6,5,4,1,6,6,1,2,Bon Bon Cold Coffee
3,4,6,6,4,5,4,1,2,Classic Frappe Cold Coffee
1,6,3,1,3,6,5,5,5,Vietnamese Cold Coffee
1,6,4,3,3,1,6,3,5,Nariyal Irish Cream Frappe
2,5,1,3,5,5,2,3,3,Espresso
3,5,2,1,1,6,1,6,6,Flat White
3,4,6,2,4,1,4,4,4,Original South India Frappe
4,4,4,1,1,5,3,6,4,Flat White
4,4,4,1,6,3,1,5,5,Bellatte
3,5,4,2,1,2,6,1,3,Madagascar Choco Chip Frappe
2,5,6,1,5,2,2,3,3,Cold Brew
3,2,5,3,3,3,1,5,5,Madagascar Hot Chocolate
6,3,3,2,4,5,3,5,2,Cappucino
4,2,3,3,3,5,2,6,3,Bellatte
3,1,1,1,1,4,2,5,1,Americano
4,6,4,4,1,6,1,3,4,Bellatte
3,6,5,1,5,3,4,6,2,Bellatte
5,3,2,1,2,4,3,1,6,Bellatte
4,5,3,5,2,4,4,6,3,Madagascar Choco Chip Frappe
2,6,1,4,3,2,5,5,1,South Indian Filter Kaapi
5,2,5,5,3,3,2,1,1,Flat White
6,5,6,1,5,6,3,5,1,Kaapi-cino
3,3,5,4,5,3,5,5,3,South Indian Filter Kaapi
6,6,1,4,4,1,6,3,1,Hot Chocolate
4,5,6,1,6,3,1,1,6,Iced Latte Cold Coffee
5,6,3,1,1,1,5,6,2,Double Restritto
6,2,3,5,1,2,4,5,2,Cafe Mocha
2,3,3,1,3,2,4,3,2,Iced Latte Cold Coffee
4,6,3,1,4,6,1,2,3,Bon Bon Cold Coffee
5,2,6,1,1,3,6,2,1,Classic Frappe Cold Coffee
6,6,1,5,1,3,6,4,1,Bon Bon Cold Coffee
5,2,2,1,6,3,6,6,3,Americano
5,5,2,3,3,1,6,6,3,Cafe Mocha
6,3,1,1,5,2,4,6,2,Espresso
1,5,3,1,6,3,5,5,3,Double Restritto
3,6,5,2,3,6,1,4,1,South Indian Filter Kaapi
4,3,4,4,4,2,6,2,1,Hazelnut Frappe Cold Coffee
4,1,1,5,6,3,2,5,4,Kaapi-cino
4,1,4,1,5,1,6,5,2,Cappucino
5,3,3,2,2,3,6,2,4,Original South India Frappe
6,5,2,4,6,6,4,6,4,Hot Chocolate
3,4,1,1,2,6,4,2,2,Bellatte
2,3,6,6,2,1,1,5,1,Bellatte
4,2,4,4,6,1,5,1,6,Espresso
6,1,5,5,3,4,1,4,4,Americano
3,3,4,4,6,3,2,3,5,Original South India Frappe
3,3,4,4,1,6,4,3,5,Sea Salt Dark Mocha
1,3,4,2,6,3,2,4,1,Original South India Frappe
6,2,3,2,1,6,1,2,5,Original South India Frappe
4,5,5,3,1,2,2,2,4,Madagascar Choco Chip Frappe
5,4,1,4,1,3,6,3,4,Classic Frappe Cold Coffee
3,2,1,2,2,2,4,3,5,Nariyal Irish Cream Frappe
3,4,4,2,1,4,2,2,5,Classic Frappe Cold Coffee
2,1,4,1,4,1,2,6,5,Flat White
1,4,3,3,3,6,4,4,5,Vietnamese Cold Coffee
3,4,3,5,6,3,5,6,4,Hot Chocolate
3,1,6,4,5,5,6,6,6,Flat White
5,2,4,1,4,2,2,6,3,Double Restritto
5,2,2,6,4,2,2,1,5,Vietnamese Cold Coffee
2,1,6,5,2,4,5,2,3,South Indian Filter Kaapi
6,2,5,3,5,6,5,1,6,Iced Latte Cold Coffee
2,5,4,1,2,3,2,3,5,Original South India Frappe
2,6,3,3,2,1,6,2,5,Sea Salt Dark Mocha
5,4,1,6,2,2,5,5,4,Classic Frappe Cold Coffee
6,2,2,5,3,6,6,4,4,Bellatte
5,4,1,6,6,5,2,5,3,Vietnamese Cold Coffee
1,6,5,5,1,4,2,4,6,Original South India Frappe
4,6,5,4,6,5,1,4,1,Espresso
4,2,4,5,4,5,3,5,4,Americano
1,4,3,3,4,4,2,1,1,Cold Brew
4,1,3,1,1,2,2,1,5,Hot Chocolate
6,1,5,5,6,1,1,4,2,Vietnamese Cold Coffee
5,1,5,2,3,2,3,2,3,Double Restritto
4,5,2,6,2,2,5,3,5,Vietnamese Cold Coffee
6,5,2,5,6,6,6,2,3,Original South India Frappe
5,1,6,6,4,6,1,1,3,Flat White
6,4,3,4,1,2,5,2,4,Flat White
1,1,3,3,1,5,2,6,4,Bon Bon Cold Coffee
2,1,2,2,6,1,3,3,4,Sea Salt Dark Mocha
1,3,2,3,5,4,5,6,3,Hazelnut Frappe Cold Coffee
4,5,2,2,2,5,1,4,4,Sea Salt Dark Mocha
5,5,6,1,2,2,5,2,6,South Indian Filter Kaapi
6,1,5,3,2,1,1,3,1,Espresso
4,1,5,4,3,1,2,2,1,Hot Chocolate
4,3,1,2,6,3,6,2,3,Bellatte
2,3,6,5,3,2,5,2,2,Espresso
4,5,2,1,1,5,4,5,1,Bon Bon Cold Coffee
2,5,2,6,3,3,1,5,2,Sea Salt Dark Mocha
5,5,4,6,3,6,2,1,2,Double Restritto
5,5,6,2,1,2,5,4,4,South Indian Filter Kaapi
6,4,6,1,5,1,3,5,3,Double Restritto
2,1,5,3,6,2,2,6,2,Iced Latte Cold Coffee
1,4,4,3,1,1,3,2,6,Iced Latte Cold Coffee
5,2,5,4,2,6,1,1,2,Madagascar Choco Chip Frappe
6,5,2,1,4,1,1,3,2,South Indian Filter Kaapi
1,5,5,6,6,4,4,3,5,Classic Frappe Cold Coffee
5,1,2,2,5,2,4,3,3,Cafe Latte
5,5,3,5,3,5,5,2,6,Kaapi-cino
6,5,1,6,5,6,6,4,6,Americano
6,4,5,4,3,2,6,1,6,Kaapi-cino
3,2,6,6,5,2,2,6,1,Flat White
4,4,2,3,2,4,1,3,6,Cold Brew
4,3,1,2,1,2,2,1,6,Double Restritto
1,5,3,2,1,4,3,4,1,Bon Bon Cold Coffee
4,4,3,5,1,3,6,3,2,Cappucino
1,1,4,3,1,2,2,3,5,South Indian Filter Kaapi
5,6,2,4,6,3,3,5,6,Cafe Mocha
3,2,2,1,1,3,5,6,3,Cafe Mocha
3,6,1,5,5,1,3,4,3,Madagascar Hot Chocolate
5,2,6,1,1,4,3,5,5,Vietnamese Cold Coffee
6,1,4,3,4,3,2,3,3,Bellatte
2,1,6,6,2,6,6,6,5,Madagascar Hot Chocolate
2,5,3,5,1,1,3,5,6,Cafe Latte
4,2,5,3,6,6,1,6,3,Flat White
6,1,4,6,2,4,6,6,1,Americano
1,3,4,4,3,1,4,4,1,Double Restritto
3,2,6,6,1,3,1,1,6,Kaapi-cino
4,1,1,6,5,3,1,2,6,Madagascar Hot Chocolate
5,4,4,6,5,6,2,2,5,Vietnamese Cold Coffee
6,1,1,3,6,3,5,2,3,Bon Bon Cold Coffee
3,6,2,1,5,5,5,2,2,Madagascar Hot Chocolate
1,2,1,4,1,4,1,6,3,Sea Salt Dark Mocha
1,6,2,3,6,4,6,6,3,Hot Chocolate
2,6,2,3,2,6,5,2,1,Kaapi-cino
4,5,4,3,1,6,6,3,4,Cappucino
5,3,6,5,4,1,6,2,4,Cafe Mocha
3,1,2,3,2,3,4,3,1,Flat White
1,2,4,2,2,4,4,3,3,Hot Chocolate
3,1,2,6,2,1,3,6,4,Madagascar Hot Chocolate
5,6,6,6,2,2,6,3,1,Vietnamese Cold Coffee
3,1,2,3,3,5,2,3,6,Cold Brew
4,2,2,5,1,1,3,6,4,Espresso
2,4,2,2,6,4,2,1,5,Americano
3,2,5,1,2,2,1,2,1,Cafe Latte
6,2,4,3,1,5,5,5,4,Madagascar Choco Chip Frappe
2,5,6,2,4,1,6,3,6,Madagascar Choco Chip Frappe
5,1,3,2,1,6,2,6,3,Espresso
2,1,6,6,5,5,2,1,3,Cafe Latte
3,2,2,4,1,5,5,6,5,Original South India Frappe
3,6,6,2,3,4,1,5,6,Bon Bon Cold Coffee
6,4,5,1,2,5,5,3,4,Vietnamese Cold Coffee
1,5,6,5,3,6,6,4,6,Double Restritto
6,4,3,2,1,5,5,2,5,Iced Latte Cold Coffee
3,4,3,2,4,6,4,3,2,Americano
2,5,5,4,6,2,5,5,3,Original South India Frappe
6,6,6,2,5,2,4,3,5,Bellatte
6,6,3,2,2,6,1,1,5,Nariyal Irish Cream Frappe
1,5,4,6,6,3,6,2,1,Classic Frappe Cold Coffee
3,4,3,2,2,2,4,5,5,Cappucino
3,6,4,4,5,4,2,1,4,Nariyal Irish Cream Frappe
5,4,3,4,5,1,4,4,4,Flat White
1,4,3,1,2,4,6,3,6,Cafe Mocha
5,6,2,5,1,6,6,6,2,Sea Salt Dark Mocha
5,1,3,3,2,2,1,4,3,Original South India Frappe
5,1,2,1,6,4,1,5,4,Americano
4,1,4,1,1,2,3,6,4,Madagascar Choco Chip Frappe
5,1,3,6,6,4,5,3,1,Madagascar Hot Chocolate
6,6,2,6,3,2,5,3,1,Double Restritto
2,6,5,4,2,4,5,2,3,Original South India Frappe
6,5,5,2,4,2,2,5,3,Iced Latte Cold Coffee
6,2,4,5,5,4,1,4,1,Iced Latte Cold Coffee
3,6,3,5,5,4,2,3,3,Cafe Latte
4,1,6,2,3,2,4,1,5,Hot Chocolate
5,4,3,6,1,2,1,1,4,Double Restritto
3,2,4,1,5,3,4,3,2,Kaapi-cino
1,1,1,6,5,4,1,3,6,Cafe Mocha
1,3,1,2,4,6,1,3,6,Cafe Latte
3,3,5,1,2,1,1,6,3,Espresso
2,5,5,6,4,4,1,6,3,South Indian Filter Kaapi
3,3,2,6,5,6,4,6,3,Iced Latte Cold Coffee
3,5,6,4,5,4,5,4,1,Americano
4,6,1,3,5,3,4,2,5,Classic Frappe Cold Coffee
1,6,4,2,1,2,2,1,5,Bellatte
1,5,4,1,3,4,4,5,5,Madagascar Choco Chip Frappe
5,6,1,5,4,6,3,2,1,Espresso
6,5,4,2,6,5,3,1,4,Sea Salt Dark Mocha
3,2,3,5,1,3,2,6,6,Cold Brew
3,2,6,1,1,3,3,5,3,Cold Brew
2,3,5,1,3,4,2,6,5,Sea Salt Dark Mocha
1,2,5,6,6,5,4,5,6,Iced Latte Cold Coffee
2,1,1,3,3,2,4,6,2,Cold Brew
4,5,2,3,1,5,3,5,4,Kaapi-cino
5,1,6,4,1,3,4,1,6,Cafe Latte
2,2,6,1,4,5,2,6,1,Espresso
1,6,3,1,5,3,2,2,5,Madagascar Hot Chocolate
4,4,1,3,6,5,1,6,6,Cafe Latte
3,2,2,2,6,1,1,5,3,Iced Latte Cold Coffee
4,5,6,2,6,5,5,4,3,Madagascar Hot Chocolate
6,4,5,5,1,6,6,4,4,Kaapi-cino
2,4,6,1,2,4,3,3,4,Sea Salt Dark Mocha
1,5,6,4,2,4,5,1,2,Cafe Latte
2,6,1,6,3,6,1,2,6,Cafe Latte
3,3,5,6,4,6,2,5,2,Cafe Latte
3,6,5,6,3,4,6,4,5,Cold Brew
1,6,2,2,5,6,1,4,3,Hot Chocolate
6,6,1,3,6,5,4,5,4,Sea Salt Dark Mocha
5,2,6,6,6,6,3,2,6,Bellatte
4,6,5,6,6,5,4,4,4,Bellatte
4,6,5,5,1,1,2,2,4,Classic Frappe Cold Coffee
3,2,1,4,2,6,2,6,3,Classic Frappe Cold Coffee
2,6,5,5,3,1,6,2,6,Flat White
2,4,2,5,3,1,2,4,6,Hot Chocolate
6,4,6,5,2,2,5,4,4,Classic Frappe Cold Coffee
5,5,5,4,6,1,6,3,1,Espresso
2,5,2,1,6,3,1,5,3,Sea Salt Dark Mocha
4,3,4,3,1,4,2,6,2,Cold Brew
2,6,5,2,3,2,6,3,5,Bellatte
5,4,4,2,3,2,5,2,3,Iced Latte Cold Coffee
4,2,1,3,2,1,3,1,4,South Indian Filter Kaapi
2,6,4,3,3,3,6,2,6,Vietnamese Cold Coffee
4,5,5,3,1,3,6,4,4,Kaapi-cino
3,6,3,3,2,2,2,6,3,Flat White
3,1,1,3,4,2,3,2,2,Double Restritto
6,2,1,1,5,4,3,4,5,Kaapi-cino
3,6,3,3,1,1,2,3,2,Hazelnut Frappe Cold Coffee
2,4,3,4,4,4,4,4,1,Americano
5,5,2,3,2,3,6,3,1,Hot Chocolate
4,6,3,3,4,6,3,5,2,Sea Salt Dark Mocha
1,5,4,6,5,3,4,2,1,Original South India Frappe
3,1,3,5,2,3,3,2,3,Americano
3,3,4,4,1,4,6,4,2,Espresso
1,2,6,5,4,6,5,3,4,Kaapi-cino
1,5,5,5,4,3,2,5,3,Americano
2,3,1,2,2,5,4,1,6,Iced Latte Cold Coffee
4,6,6,4,1,5,2,1,5,Americano
3,1,2,5,2,3,1,5,2,Classic Frappe Cold Coffee
5,6,2,3,2,6,1,4,6,South Indian Filter Kaapi
2,1,1,2,6,6,6,4,4,Madagascar Choco Chip Frappe
2,2,1,1,4,4,3,1,4,Bon Bon Cold Coffee
5,2,3,2,2,1,4,1,6,Cafe Mocha
5,5,1,1,4,3,1,2,1,Cold Brew
6,5,6,1,4,6,5,5,5,Espresso
5,2,1,3,6,4,1,5,4,Vietnamese Cold Coffee
1,2,1,4,4,4,3,2,3,Kaapi-cino
3,6,4,4,1,2,1,3,6,Nariyal Irish Cream Frappe
6,5,4,2,2,5,6,3,3,Hot Chocolate
1,6,5,1,1,4,4,4,4,Kaapi-cino
6,5,3,4,3,4,2,3,2,Madagascar Hot Chocolate
3,5,5,1,4,2,3,6,1,Double Restritto
6,1,3,3,3,5,5,5,3,Sea Salt Dark Mocha
1,4,6,2,4,2,5,2,1,Kaapi-cino
4,2,5,5,5,2,1,4,6,Hot Chocolate
3,1,2,3,6,2,5,1,1,Madagascar Hot Chocolate
2,5,2,2,2,4,1,4,2,Vietnamese Cold Coffee
3,4,4,2,2,4,6,4,5,Espresso
3,4,2,3,2,6,5,2,1,Americano
3,1,6,6,3,6,3,1,3,Hazelnut Frappe Cold Coffee
4,3,4,6,5,3,5,5,5,Sea Salt Dark Mocha
1,3,2,1,2,2,1,3,3,Classic Frappe Cold Coffee
2,5,1,5,6,2,2,3,2,Bon Bon Cold Coffee
1,6,5,1,1,5,4,3,6,Nariyal Irish Cream Frappe
6,6,2,3,4,5,5,6,3,Americano
6,3,3,3,6,1,6,3,2,Double Restritto
6,6,5,4,4,1,1,1,4,Cappucino
1,5,5,5,6,5,6,1,6,Iced Latte Cold Coffee
5,3,6,1,6,4,4,4,6,Hot Chocolate
4,1,5,2,1,4,3,2,4,Cafe Latte
5,4,1,1,4,3,2,1,1,Hot Chocolate
6,2,5,2,2,1,4,4,3,Cafe Latte
4,4,4,2,2,4,3,3,1,South Indian Filter Kaapi
1,3,1,5,2,2,1,1,2,South Indian Filter Kaapi
6,4,4,2,2,5,3,2,2,Sea Salt Dark Mocha
1,3,6,6,6,1,6,1,1,Flat White
4,5,6,4,3,5,2,6,3,Bellatte
1,2,3,1,1,4,5,4,4,Americano
1,5,2,4,5,2,2,3,4,Cappucino
2,2,1,2,3,2,1,1,1,Original South India Frappe
5,5,3,4,4,3,3,5,2,Sea Salt Dark Mocha
5,6,6,3,6,6,5,1,6,Cappucino
5,5,4,1,2,2,3,2,1,Madagascar Choco Chip Frappe
3,4,5,1,3,1,5,5,2,Double Restritto
2,2,1,6,1,5,2,1,4,Classic Frappe Cold Coffee
6,4,2,5,1,1,6,1,2,Hot Chocolate
6,5,5,3,3,3,1,6,4,Cafe Latte
6,4,2,2,4,3,5,3,5,Cappucino
5,3,6,2,4,3,4,1,6,Classic Frappe Cold Coffee
5,6,6,4,6,6,1,1,5,South Indian Filter Kaapi
2,5,2,5,4,4,3,1,6,Vietnamese Cold Coffee
1,3,4,6,5,2,6,4,5,Espresso
5,6,5,2,4,2,1,2,4,Cold Brew
6,5,4,4,1,2,4,1,4,Espresso
1,3,1,6,6,1,3,5,4,Double Restritto
5,6,1,4,4,4,4,4,6,Iced Latte Cold Coffee
4,3,3,4,2,3,3,4,5,Vietnamese Cold Coffee
3,5,4,6,6,3,3,6,5,Cafe Mocha
5,3,6,3,1,2,2,2,2,Cafe Mocha
4,2,4,5,4,6,2,1,4,Cappucino
2,3,5,4,3,1,4,5,6,Cappucino
4,5,1,2,4,5,6,5,4,Flat White
2,6,3,2,4,6,5,1,2,Vietnamese Cold Coffee
5,2,1,6,4,5,5,6,4,Sea Salt Dark Mocha
2,2,6,3,5,5,3,2,2,Cappucino
4,2,4,3,1,6,5,5,2,Kaapi-cino
3,4,3,5,1,5,3,1,6,Iced Latte Cold Coffee
1,2,2,6,6,5,4,4,2,Cafe Latte
1,6,6,2,6,5,1,6,1,Espresso
3,4,1,6,2,6,5,6,4,Original South India Frappe
6,6,4,3,2,5,6,4,3,Flat White
1,1,4,5,3,2,1,4,6,Sea Salt Dark Mocha
5,6,3,1,3,6,4,1,6,South Indian Filter Kaapi
6,3,4,5,2,3,3,6,3,Classic Frappe Cold Coffee
5,4,3,3,4,3,3,2,3,Double Restritto
4,5,3,5,6,4,2,5,3,Double Restritto
4,2,5,1,3,3,4,6,3,Classic Frappe Cold Coffee
6,6,1,5,3,6,4,5,1,Double Restritto
6,5,3,3,5,5,2,3,3,Flat White
6,2,4,2,1,1,2,2,2,Madagascar Hot Chocolate
6,6,2,2,3,5,5,2,2,Nariyal Irish Cream Frappe
2,5,5,2,6,5,6,6,1,Nariyal Irish Cream Frappe
6,3,6,2,1,2,6,3,2,Cafe Mocha
6,6,3,3,2,4,3,5,1,Flat White
4,3,1,5,1,3,1,6,4,Double Restritto
5,1,5,6,6,1,2,3,6,Vietnamese Cold Coffee
4,5,3,6,4,1,5,2,6,Cold Brew
1,1,2,6,1,4,3,6,4,Espresso
2,5,5,5,4,4,6,6,2,Classic Frappe Cold Coffee
2,3,1,2,1,3,5,2,1,Nariyal Irish Cream Frappe
5,1,2,2,2,3,4,5,2,Madagascar Hot Chocolate
6,2,4,6,4,4,4,1,6,Bon Bon Cold Coffee
4,6,2,5,6,6,3,1,3,Hot Chocolate
1,6,4,3,6,5,1,2,5,Cafe Latte
4,3,1,1,1,2,6,3,5,Espresso
6,4,6,3,3,2,3,3,6,Madagascar Hot Chocolate
6,3,3,5,4,5,1,5,4,Espresso
3,3,6,3,3,2,2,5,1,Madagascar Hot Chocolate
4,4,2,4,1,1,3,6,5,Madagascar Choco Chip Frappe
5,5,1,1,4,3,3,4,3,Iced Latte Cold Coffee
4,4,2,5,3,3,4,3,6,Madagascar Hot Chocolate
2,5,3,5,4,3,2,1,1,Iced Latte Cold Coffee
1,1,5,2,5,3,1,4,3,Americano
5,1,2,4,6,2,2,6,5,Bon Bon Cold Coffee
3,1,6,4,3,1,6,5,1,Iced Latte Cold Coffee
1,4,3,2,1,6,5,5,5,Madagascar Choco Chip Frappe
1,5,6,6,3,1,2,2,4,Kaapi-cino
2,2,6,6,6,1,3,4,4,Bon Bon Cold Coffee
2,3,3,1,2,2,6,3,2,Cafe Mocha
2,4,6,2,6,3,1,3,1,Bon Bon Cold Coffee
5,1,5,1,6,2,6,1,5,Nariyal Irish Cream Frappe
4,2,2,4,1,6,3,3,2,Hazelnut Frappe Cold Coffee
1,5,2,2,5,3,6,5,4,Cappucino
4,5,6,5,5,1,6,1,5,Original South India Frappe
4,5,6,2,6,4,3,5,2,Flat White
2,4,3,4,3,6,5,3,3,Espresso
4,3,2,3,5,2,5,5,6,Vietnamese Cold Coffee
1,3,5,1,1,1,6,3,5,Classic Frappe Cold Coffee
1,2,2,1,2,1,5,5,6,Original South India Frappe
6,6,6,4,3,1,5,4,2,Bon Bon Cold Coffee
3,1,2,2,5,3,5,4,5,Sea Salt Dark Mocha
5,6,4,1,6,2,4,2,5,Madagascar Hot Chocolate
4,6,3,2,5,5,1,5,1,Classic Frappe Cold Coffee
5,6,3,5,3,2,6,1,3,Double Restritto
5,1,4,1,4,3,3,4,5,Classic Frappe Cold Coffee
5,1,2,2,5,6,1,1,2,Hot Chocolate
6,1,6,5,1,5,5,6,2,Sea Salt Dark Mocha
5,2,2,4,6,4,2,6,2,Cappucino
6,2,5,6,3,6,5,6,6,Flat White
1,5,1,1,6,5,4,6,6,Hot Chocolate
4,4,1,4,6,1,1,2,3,Bellatte
6,3,3,3,2,4,6,2,6,Madagascar Hot Chocolate
3,6,4,5,1,3,4,5,2,Bellatte
5,2,5,5,6,1,6,2,2,Espresso
3,6,2,2,2,3,1,6,6,Original South India Frappe
1,3,6,3,4,2,5,6,5,Original South India Frappe
1,5,4,1,3,2,3,3,2,Sea Salt Dark Mocha
2,5,5,4,5,3,4,2,1,Nariyal Irish Cream Frappe
5,6,2,4,4,2,5,5,3,Espresso
2,2,2,2,3,6,1,6,5,Original South India Frappe
3,1,6,1,2,2,5,6,3,Flat White
4,4,1,6,5,1,2,4,1,Kaapi-cino
2,3,2,6,3,2,6,4,6,Sea Salt Dark Mocha
1,3,3,1,6,6,2,3,2,Kaapi-cino
5,5,5,1,4,1,1,3,5,Cafe Mocha
3,3,3,2,1,3,1,1,5,Classic Frappe Cold Coffee
6,1,4,1,3,2,3,6,2,Nariyal Irish Cream Frappe
1,2,4,1,4,4,4,4,3,Flat White
6,4,2,3,6,5,3,2,6,Iced Latte Cold Coffee
4,4,5,3,1,1,3,5,2,Cafe Latte
5,1,6,1,2,5,2,5,6,Cafe Latte
4,3,2,1,5,2,1,3,4,Vietnamese Cold Coffee
4,1,3,1,6,4,4,1,2,Bon Bon Cold Coffee
5,4,1,1,6,2,3,6,5,Madagascar Hot Chocolate
5,1,3,4,6,5,5,5,5,Flat White
6,4,6,2,2,5,4,5,6,Bellatte
4,3,5,6,1,5,5,5,5,Cold Brew
3,6,3,2,5,6,6,5,3,Americano
6,4,2,2,5,5,1,5,4,Bellatte
5,1,6,3,5,3,6,1,4,Madagascar Hot Chocolate
1,5,1,3,2,4,6,5,5,Iced Latte Cold Coffee
6,4,5,2,4,1,4,5,4,Bellatte
2,5,3,1,4,1,3,1,5,Sea Salt Dark Mocha
3,5,6,4,4,5,3,3,5,Cafe Latte
6,5,5,2,6,2,3,5,6,Iced Latte Cold Coffee
5,1,1,6,2,3,5,2,2,Hot Chocolate
5,1,2,2,6,3,1,1,3,Iced Latte Cold Coffee
3,3,4,5,2,2,6,5,3,Kaapi-cino
2,4,1,4,6,5,5,1,2,Sea Salt Dark Mocha
6,6,2,5,5,3,5,1,2,Bellatte
6,2,1,5,4,2,1,3,2,Cappucino
4,6,4,1,6,3,6,5,1,Bellatte
1,5,4,3,2,3,1,2,3,Vietnamese Cold Coffee
5,4,5,6,3,4,5,3,6,South Indian Filter Kaapi
6,5,2,1,5,3,2,5,6,Double Restritto
6,6,1,1,1,2,1,3,6,Flat White
6,3,4,5,1,1,3,1,4,Bon Bon Cold Coffee
2,1,2,3,4,6,3,6,2,Cold Brew
1,6,4,3,1,6,3,6,4,Americano
6,6,6,3,3,3,2,2,3,Nariyal Irish Cream Frappe
3,2,5,4,2,4,6,1,1,Double Restritto
5,6,3,5,6,3,4,3,6,Iced Latte Cold Coffee
4,1,6,4,4,6,6,5,1,Cappucino
3,3,2,4,5,1,5,1,6,Nariyal Irish Cream Frappe
5,3,4,5,3,2,2,4,3,Flat White
